epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.706,0.98321,1.41941,1.4391,0.74142,0.53361,0.52276,0.31568,1.14405,1.70475,1.89231,0.000661692,0.000661692,0.000661692
2,474.366,1.09421,1.15466,1.53958,0.41397,0.2395,0.18582,0.06804,1.89383,2.74421,2.59063,0.0012626,0.0012626,0.0012626
3,696.962,1.16072,1.10082,1.57836,0.79522,0.32353,0.32864,0.15036,1.56239,1.18128,2.35285,0.00179752,0.00179752,0.00179752
4,944.396,1.1339,1.00424,1.54007,0.67886,0.31933,0.29364,0.13317,1.54305,1.39156,2.16996,0.001703,0.001703,0.001703
5,1214.46,1.11492,0.9668,1.54902,0.90412,0.32773,0.34414,0.22052,1.1481,0.91207,1.81555,0.001604,0.001604,0.001604
6,1466.94,1.03261,0.88549,1.48342,0.7781,0.66807,0.69035,0.41477,1.18654,0.98902,1.78163,0.001505,0.001505,0.001505
7,1725.15,1.0169,0.85118,1.47303,0.91577,0.93277,0.97353,0.65168,1.09835,0.76471,1.68683,0.001406,0.001406,0.001406
8,1995.08,0.96454,0.77914,1.43365,0.94087,0.92017,0.96192,0.63523,1.12845,0.81601,1.76278,0.001307,0.001307,0.001307
9,2259.37,0.94213,0.76403,1.40878,0.92545,0.93881,0.97344,0.70808,0.98162,0.6175,1.59507,0.001208,0.001208,0.001208
10,2557.81,0.90984,0.70824,1.3792,0.91977,0.9634,0.98398,0.70149,0.98563,0.63288,1.59712,0.001109,0.001109,0.001109
11,2900.83,0.85515,0.63502,1.501,0.93006,0.9499,0.96308,0.69621,0.97657,0.59685,1.64601,0.00101,0.00101,0.00101
12,3259.29,0.81598,0.56335,1.44898,0.93511,0.96886,0.98523,0.73765,0.86819,0.54297,1.48981,0.000911,0.000911,0.000911
