epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.385,0.97037,1.39999,1.4366,0.82327,0.74379,0.794,0.43177,1.40925,1.8303,2.161,0.000661692,0.000661692,0.000661692
2,387.745,1.11024,1.18812,1.55237,0.38501,0.2479,0.17125,0.06223,2.22301,2.12159,2.92243,0.0012626,0.0012626,0.0012626
3,606.148,1.12993,1.09677,1.55466,0.61341,0.42857,0.40216,0.21413,1.49218,1.32252,2.16581,0.00179752,0.00179752,0.00179752
4,849.262,1.09872,0.99987,1.53563,0.86704,0.57143,0.58679,0.33882,1.33066,1.07734,2.0573,0.001703,0.001703,0.001703
5,1100.07,1.06901,0.94161,1.51593,0.81875,0.60739,0.61847,0.36357,1.21638,0.92298,1.84903,0.001604,0.001604,0.001604
6,1342.1,1.03151,0.88349,1.48258,0.86861,0.80672,0.82176,0.51537,1.18755,0.83592,1.90631,0.001505,0.001505,0.001505
7,1588.4,0.97636,0.83153,1.44231,0.91343,0.93697,0.96981,0.66998,1.04677,0.7468,1.64499,0.001406,0.001406,0.001406
8,1844.39,0.9578,0.79604,1.43104,0.92037,0.92269,0.97194,0.67291,0.98354,0.74431,1.61176,0.001307,0.001307,0.001307
9,2115.39,0.92739,0.75519,1.4025,0.93089,0.97059,0.97606,0.68132,1.03405,0.66878,1.68192,0.001208,0.001208,0.001208
10,2398.15,0.89054,0.70866,1.37453,0.94433,0.92649,0.9772,0.6749,1.04272,0.65801,1.66484,0.001109,0.001109,0.001109
11,2737.68,0.83345,0.61984,1.47978,0.95746,0.94565,0.98036,0.65821,1.07745,0.61491,1.76389,0.00101,0.00101,0.00101
12,3071.39,0.81126,0.55857,1.44803,0.90896,0.92295,0.97324,0.70986,0.92168,0.63934,1.53585,0.000911,0.000911,0.000911
13,3434.13,0.74165,0.50742,1.38619,0.94168,0.96639,0.97826,0.74696,0.8638,0.55582,1.48967,0.000812,0.000812,0.000812
14,3773.18,0.7173,0.48591,1.3587,0.97467,0.96639,0.98793,0.7699,0.80934,0.52887,1.41989,0.000713,0.000713,0.000713
15,4158.96,0.71164,0.46323,1.34571,0.97332,0.97479,0.99246,0.78655,0.76865,0.46952,1.36834,0.000614,0.000614,0.000614
16,4574.14,0.64351,0.43638,1.28371,0.95528,0.97479,0.99175,0.79788,0.72795,0.45942,1.32175,0.000515,0.000515,0.000515
17,5010.85,0.62111,0.40433,1.26487,0.9503,0.964,0.98811,0.80564,0.73045,0.46171,1.30656,0.000416,0.000416,0.000416
18,5447.57,0.59132,0.39602,1.23076,0.95516,0.98458,0.99098,0.82024,0.68632,0.42063,1.2869,0.000317,0.000317,0.000317
19,5893.44,0.55422,0.36665,1.20305,0.97495,0.98104,0.99292,0.82533,0.7078,0.40119,1.30721,0.000218,0.000218,0.000218
20,6337.58,0.53207,0.33994,1.17442,0.97902,0.97899,0.99438,0.84226,0.64161,0.38072,1.24373,0.000119,0.000119,0.000119
